Date,Close/Last,Volume,Open,High,Low
08/30/2023,$4.35,76630,$4.26,$4.39,$4.1682
08/29/2023,$4.28,86200,$4.16,$4.31,$4.10
08/28/2023,$4.19,138080,$4.18,$4.27,$3.99
08/25/2023,$4.22,118421,$4.49,$4.63,$4.20
08/24/2023,$4.49,244064,$4.96,$5.03,$4.40
08/23/2023,$4.96,143497,$4.96,$5.21,$4.72
08/22/2023,$4.94,134232,$4.80,$5.00,$4.66
08/21/2023,$4.77,87003,$4.70,$4.81,$4.595
08/18/2023,$4.71,124652,$4.51,$4.79,$4.4312
08/17/2023,$4.56,245633,$4.55,$4.91,$4.32
08/16/2023,$4.55,374880,$4.86,$4.98,$4.42
08/15/2023,$4.86,140097,$4.80,$4.90,$4.62
08/14/2023,$4.90,192278,$5.02,$5.10,$4.57
08/11/2023,$5.06,119776,$4.94,$5.22,$4.75
08/10/2023,$5.04,54149,$5.04,$5.25,$5.00
08/09/2023,$4.99,93411,$5.03,$5.05,$4.885
08/08/2023,$5.03,61107,$5.14,$5.315,$5.02
08/07/2023,$5.17,179089,$5.54,$5.54,$4.98
08/04/2023,$5.56,70376,$5.73,$5.85,$5.51
08/03/2023,$5.65,127149,$5.76,$5.76,$5.38
08/02/2023,$5.77,81618,$5.88,$6.09,$5.69
08/01/2023,$5.96,104715,$6.06,$6.20,$5.79
07/31/2023,$6.11,93946,$5.94,$6.1578,$5.94
07/28/2023,$5.94,102113,$5.70,$6.10,$5.61
07/27/2023,$5.70,222137,$5.97,$5.975,$5.55
07/26/2023,$5.86,128170,$5.92,$5.995,$5.75
07/25/2023,$5.86,120306,$6.19,$6.36,$5.85
07/24/2023,$6.16,309860,$6.45,$6.485,$5.9983
07/21/2023,$6.73,65950,$6.89,$6.96,$6.70
07/20/2023,$6.81,82652,$7.08,$7.29,$6.74
07/19/2023,$7.115,103706,$6.99,$7.44,$6.99
07/18/2023,$6.93,77421,$6.89,$7.25,$6.86
07/17/2023,$6.875,104008,$6.82,$7.17,$6.78
07/14/2023,$6.77,164989,$7.12,$7.17,$6.52
07/13/2023,$7.11,98105,$6.76,$7.13,$6.68
07/12/2023,$6.70,74488,$6.86,$6.94,$6.65
07/11/2023,$6.67,149471,$6.68,$6.83,$6.51
07/10/2023,$6.66,155673,$6.17,$6.73,$6.17
07/07/2023,$6.18,320573,$6.26,$6.46,$5.95
07/06/2023,$6.33,702436,$6.54,$6.6681,$5.615
07/05/2023,$7.29,112098,$7.30,$7.64,$7.27
07/03/2023,$7.35,51683,$7.50,$7.50,$7.30
06/30/2023,$7.51,144573,$7.34,$7.79,$7.1714
06/29/2023,$7.33,212977,$7.26,$7.54,$7.13
06/28/2023,$7.28,69553,$7.21,$7.31,$7.06
06/27/2023,$7.22,120767,$7.35,$7.35,$6.88
06/26/2023,$7.37,166591,$7.82,$7.82,$7.37
06/23/2023,$7.75,407193,$7.15,$7.82,$7.08
06/22/2023,$7.21,320012,$7.27,$7.31,$6.90
06/21/2023,$7.31,327447,$8.09,$8.252,$7.29
06/20/2023,$8.14,796093,$9.37,$9.50,$8.00
06/16/2023,$9.43,308190,$9.68,$10.16,$9.39
06/15/2023,$9.56,217323,$9.16,$9.94,$9.04
06/14/2023,$9.22,208558,$9.24,$9.55,$9.1001
06/13/2023,$9.35,250863,$8.94,$9.61,$8.76
06/12/2023,$8.75,314218,$7.73,$9.00,$7.72
06/09/2023,$8.00,175107,$8.00,$8.16,$7.86
06/08/2023,$7.94,136405,$8.22,$8.22,$7.86
06/07/2023,$8.22,134685,$8.38,$8.40,$8.02
06/06/2023,$8.35,300062,$8.43,$8.94,$8.17
06/05/2023,$8.43,267756,$8.25,$8.616,$8.0215
06/02/2023,$8.32,305303,$7.61,$8.48,$7.455
06/01/2023,$7.38,440434,$6.71,$7.64,$6.71
05/31/2023,$6.67,653358,$6.70,$6.79,$6.615
05/30/2023,$6.68,171290,$6.81,$7.12,$6.60
05/26/2023,$6.81,209637,$6.50,$6.89,$6.485
05/25/2023,$6.51,251391,$6.50,$6.71,$6.47
05/24/2023,$6.66,210895,$6.76,$7.02,$6.35
05/23/2023,$6.81,223228,$6.50,$7.28,$6.50
05/22/2023,$6.50,170431,$6.41,$6.78,$6.3001
05/19/2023,$6.39,165589,$6.09,$6.5169,$6.04
05/18/2023,$6.01,155703,$6.25,$6.34,$5.76
05/17/2023,$6.31,103953,$6.06,$6.375,$5.95
05/16/2023,$6.035,220835,$6.38,$6.38,$5.97
05/15/2023,$6.46,187790,$6.60,$6.815,$6.46
05/12/2023,$6.53,415811,$6.49,$6.9799,$6.41
05/11/2023,$6.27,197503,$6.48,$6.6899,$6.17
05/10/2023,$6.49,247862,$6.60,$6.72,$6.27
05/09/2023,$6.52,197423,$5.95,$6.56,$5.9101
05/08/2023,$6.13,273058,$6.40,$6.40,$5.98
05/05/2023,$6.37,208845,$6.41,$6.68,$6.295
05/04/2023,$6.35,257676,$6.10,$6.45,$5.97
05/03/2023,$6.12,285775,$5.81,$6.15,$5.7477
05/02/2023,$5.785,332205,$6.59,$6.712,$5.76
05/01/2023,$6.49,422396,$6.06,$6.59,$5.915
04/28/2023,$5.94,212487,$5.58,$6.03,$5.3585
04/27/2023,$5.58,167992,$5.68,$5.81,$5.48
04/26/2023,$5.66,290913,$5.54,$5.8774,$5.12
04/25/2023,$5.49,479728,$5.45,$6.15,$5.435
04/24/2023,$5.47,566434,$6.03,$6.18,$5.22
04/21/2023,$6.00,1285779,$4.98,$6.34,$4.98
04/20/2023,$5.00,1259910,$4.96,$5.04,$4.73
04/19/2023,$4.96,1201769,$4.57,$5.0227,$4.57
04/18/2023,$4.66,109840,$4.88,$5.155,$4.52
04/17/2023,$4.85,249239,$4.80,$4.92,$4.48
04/14/2023,$4.80,85614,$4.97,$5.02,$4.76
04/13/2023,$4.95,289449,$4.65,$5.03,$4.60
04/12/2023,$4.64,156257,$4.68,$4.96,$4.60
04/11/2023,$4.63,120480,$4.44,$4.69,$4.32
04/10/2023,$4.44,100013,$4.42,$4.54,$4.27
04/06/2023,$4.45,86637,$4.38,$4.54,$4.30
04/05/2023,$4.38,137478,$4.38,$4.63,$4.30
04/04/2023,$4.37,195204,$4.61,$4.61,$4.23
04/03/2023,$4.61,206020,$4.59,$4.73,$4.43
03/31/2023,$4.52,168399,$4.58,$4.70,$4.4925
03/30/2023,$4.56,185296,$5.03,$5.22,$4.44
03/29/2023,$5.00,231444,$4.90,$5.06,$4.83
03/28/2023,$4.87,213674,$4.96,$5.08,$4.80
03/27/2023,$4.99,209657,$4.67,$5.04,$4.61
03/24/2023,$4.66,229361,$4.83,$4.93,$4.57
03/23/2023,$4.87,335343,$4.84,$4.91,$4.67
03/22/2023,$4.80,247564,$4.85,$5.00,$4.675
03/21/2023,$4.81,1073953,$4.73,$5.0691,$4.70
03/20/2023,$4.61,303512,$4.79,$4.855,$4.52
03/17/2023,$4.77,401229,$4.95,$5.03,$4.66
03/16/2023,$5.00,375212,$5.14,$5.17,$4.955
03/15/2023,$5.19,344600,$5.21,$5.41,$4.69
03/14/2023,$5.25,259509,$5.74,$5.86,$5.09
03/13/2023,$5.63,746463,$5.30,$5.99,$5.20
03/10/2023,$5.39,387036,$5.79,$5.81,$5.095
03/09/2023,$5.87,160309,$6.30,$6.33,$5.68
03/08/2023,$6.24,133779,$6.40,$6.44,$6.14
03/07/2023,$6.39,106114,$6.45,$6.59,$6.37
03/06/2023,$6.49,127012,$6.50,$6.59,$6.28
03/03/2023,$6.52,158817,$6.51,$6.7062,$6.46
03/02/2023,$6.47,325645,$6.45,$6.50,$6.285
03/01/2023,$6.53,132324,$6.74,$6.81,$6.47
02/28/2023,$6.62,151729,$6.77,$6.90,$6.51
02/27/2023,$6.68,122997,$6.68,$6.83,$6.56
02/24/2023,$6.56,189402,$6.87,$6.9499,$6.455
02/23/2023,$6.97,163276,$7.15,$7.27,$6.84
02/22/2023,$7.15,98193,$7.09,$7.22,$6.93
02/21/2023,$7.11,216660,$7.59,$7.62,$7.085
02/17/2023,$7.64,120889,$7.60,$7.70,$7.37
02/16/2023,$7.47,133346,$7.76,$8.00,$7.27
02/15/2023,$7.76,129323,$7.92,$7.99,$7.61
02/14/2023,$8.05,82518,$8.12,$8.26,$7.81
02/13/2023,$8.12,110938,$8.24,$8.28,$7.80
02/10/2023,$8.17,182693,$8.08,$8.24,$7.74
02/09/2023,$8.13,134522,$8.37,$8.52,$7.88
02/08/2023,$8.32,303748,$8.94,$8.96,$8.26
02/07/2023,$8.96,69164,$9.27,$9.3088,$8.81
02/06/2023,$9.31,144891,$8.71,$9.74,$8.71
02/03/2023,$8.72,189168,$9.09,$9.16,$8.63
02/02/2023,$9.23,87371,$9.16,$9.35,$8.92
02/01/2023,$9.16,156595,$9.35,$9.64,$8.68
01/31/2023,$9.30,113186,$9.28,$9.69,$9.14
01/30/2023,$9.28,101033,$9.16,$9.36,$8.85
01/27/2023,$9.18,126817,$9.34,$9.60,$9.10
01/26/2023,$9.40,122074,$9.75,$9.89,$9.23
01/25/2023,$9.55,147251,$9.17,$9.78,$9.08
01/24/2023,$9.34,100441,$9.08,$9.4174,$8.93
01/23/2023,$9.11,77916,$9.03,$9.16,$8.88
01/20/2023,$9.03,114976,$9.48,$9.48,$8.86
01/19/2023,$9.27,174134,$9.44,$9.645,$9.24
01/18/2023,$9.47,255515,$9.68,$9.8386,$9.12
01/17/2023,$9.60,176230,$9.99,$9.99,$9.19
01/13/2023,$10.01,211820,$9.13,$10.845,$9.13
01/12/2023,$9.18,375113,$8.84,$9.27,$8.23
01/11/2023,$8.91,412999,$9.37,$9.6399,$8.64
01/10/2023,$9.47,429577,$10.45,$10.915,$8.71
01/09/2023,$10.48,1059166,$11.02,$11.35,$10.02
01/06/2023,$10.95,260270,$11.77,$11.77,$10.88
01/05/2023,$11.70,89329,$11.83,$11.95,$11.15
01/04/2023,$11.71,99568,$11.35,$11.89,$10.75
01/03/2023,$11.20,341113,$11.22,$11.715,$10.75
12/30/2022,$11.27,302888,$11.41,$11.665,$10.93
12/29/2022,$11.46,148078,$11.07,$11.655,$10.95
12/28/2022,$11.15,195246,$10.70,$11.46,$10.70
12/27/2022,$10.74,369157,$11.10,$11.34,$10.345
12/23/2022,$11.14,155641,$10.19,$11.26,$10.175
12/22/2022,$10.30,164650,$10.49,$10.60,$9.19
12/21/2022,$10.59,120473,$10.24,$10.99,$10.00
12/20/2022,$10.06,151341,$9.39,$10.22,$9.225
12/19/2022,$9.51,83002,$10.40,$10.40,$9.37
12/16/2022,$10.43,142182,$10.40,$10.56,$9.934
12/15/2022,$10.56,59624,$11.04,$11.47,$10.45
12/14/2022,$11.22,83226,$11.48,$12.33,$11.07
12/13/2022,$11.46,58663,$11.58,$11.61,$10.93
12/12/2022,$11.30,136083,$10.85,$11.95,$10.585
12/09/2022,$10.75,123208,$10.99,$10.99,$10.57
12/08/2022,$10.86,71940,$10.62,$11.21,$10.17
12/07/2022,$10.61,95427,$10.48,$10.7511,$10.15
12/06/2022,$10.57,139658,$11.86,$11.86,$10.52
12/05/2022,$11.84,74492,$11.33,$11.92,$11.20
12/02/2022,$11.35,80792,$10.79,$11.39,$10.21
12/01/2022,$11.08,46608,$11.14,$11.67,$10.82
11/30/2022,$11.10,82478,$10.90,$11.20,$10.475
11/29/2022,$10.80,119673,$10.00,$10.99,$10.00
11/28/2022,$10.07,164559,$10.61,$10.965,$9.70
11/25/2022,$10.68,30146,$10.61,$10.795,$10.45
11/23/2022,$10.62,40785,$10.61,$10.875,$10.465
11/22/2022,$10.71,59623,$10.49,$10.81,$10.20
11/21/2022,$10.48,96871,$10.51,$10.775,$10.34
11/18/2022,$10.52,88399,$10.85,$11.2856,$10.42
11/17/2022,$10.58,183131,$10.83,$10.9599,$10.11
11/16/2022,$11.00,365255,$11.59,$12.095,$10.75
11/15/2022,$11.60,129091,$12.57,$12.77,$11.47
11/14/2022,$12.38,351630,$12.70,$12.965,$11.71
11/11/2022,$12.79,213165,$12.61,$13.51,$12.595
11/10/2022,$12.61,159016,$13.01,$13.64,$12.18
11/09/2022,$12.42,225932,$12.63,$12.66,$12.05
